Memorial,Zone,Text
36th Ulster Division,1,"36th Ulster Division. The memorial commemorates the actions of the 36th (Ulster) Division during the First World War. The 36th (Ulster) Division, formed in September 1914 under Kitchener’s ‘New Army’ recruitment initiative, played a vital role in the Great War. Commanded initially by Major General C H Powell C.B., the Division was made up from units of the Ulster Volunteer Force, which had been formed in 1913 to fight against Home Rule in Ireland. After initial training in Ireland, Seaford and Aldershot, the Division was deployed to France in September 1915 under the command of Major General Oliver Nugent C.B. D.S.O. The 36th (Ulster) Division took part in the long awaited ‘Big Push’– the Battle of the Somme - commencing on 1 July 1916. Remarkably, progressing as far as the German Third Line, they were the farthest advances made on the day. However, the Division subsequently got caught in German enfilade (flanking) fire from the side and from behind and with the possibility of being cut off with limited supplies they withdrew and were relieved the following day having suffered heavy causalities. The bravery and exploits of the Division are legendary - seeing action in many of the subsequent campaigns of the Western Front until the Armistice in November 1918. The Division ceased all military action at the end of June 1919 when the last soldiers were de-mobbed. It is estimated that The Great War cost 36th (Ulster) Division 32,186 men killed, wounded or missing. The memorial comprises a large, rustic, black granite stone on a base plinth with a black polished façade inscribed with gold lettering. The stone’s rugged profile, suggesting the toughness of the men who fought in the 36th (Ulster) Division, is emphasised by the lines of the polished face. The heraldic Red Hand of Ulster (depicted: sinister / left), which is the insignia badge of the 36th Division, is featured at the top of the memorial above the following inscription: This memorial is dedicated to the Officers and Men of the 36th (Ulster) Division who fought in the 1st World War and the Nursing and Medical corps who served beside them. At the centre of the memorial is a reproduction of the famous James Prinsep Beadle painting ‘The Attack of the Ulster Division’ depicting a scene on the fist day of the Battle of the Somme (1 July 1916), the original of which hangs in the City Hall, Belfast. The Division’s Western Front campaigns are listed either side of this.
Interestingly, soil from each of Ulster’s nine Counties has been placed within the memorial along with soil from the following battlefield sites: Somme, Messines, Passchendaele, Wytchaete and Polcapelle. In total, nine members of the 36th (Ulster) Division were awarded the Victoria Cross, four of which were awarded for actions during the Battle of the Somme.
Below the central painting is a verse from the poem Remember Them by D. Ross Campbell:
They heard the call, they answered yes,
They proudly wore the battle dress,
For us who live they gave their all
That our great flag would never fall.
The base of the memorial displays the inscription: At the going down of the sun and in the morning we will remember them, whilst the reverse notes the memorial was funded by the 36th (Ulster) Division Memorial Association.
Footnote:
The famous Ulster Tower memorial (based on Helen's Tower in Clandboye near Belfast), which dominates the skyline around the village of Thiepval in Northern France, occupies the site of what was the German Front Line and is opposite Thiepval Wood where the 36th (Ulster) Division made its historic charge on the first day of the Battle of the Somme."
41 Club Memorial,6,"41 Club Memorial. Celebrates the community service achievements by former Round Table members (young men aged between 18 and 45) since the association was founded. 41 trees, surround a central obelisk."
"45 Commando, 'Baker' Troop",,"Baker Troop – 45 Commando
This memorial honours all Royal Marines who were members of the ‘Baker’ Troop – 45 Commando – (1955 - 1957) serving with distinction in the Cyprus EOKA Emergency and the Invasion of Suez. The memorial was presented with the aid of a legacy from Captain F Collingwood BEM RM."
4th Royal Tank Regiment 1916 - 1993 Memorial Altar,,
624 (Special Duties) Squadron RAF Memorial,,
8th Army Memorial,,
90 Signals Unit RAF TCW Memorial,,
9th/12th Royal Lancers Memorial,,
Adjutant General's Corps Commemorative Garden,,
Aguila Memorial (WRNS) (Wrens),5,"Aguila Memorial (WRNS) (Wrens). Located in the garden The Women’s Royal Naval Service (WRNS) Garden, is the Aguila Memorial, a beautifully carved wren which commemorates the 21 WRNS and one Naval Nursing Sister who were lost when SS Aguila was torpedoed in 1941"
Air Formation and Air Support Signals Memorial,,
Aircrew Association Memorial,13,"The Aircrew association
memorial is in memory of the Air Crews of WW2. The 3-armed bushes represent the propeller blades of a Spitfire, with a walnut tree nearby as the centre boss and blades of an early Spitfire propeller was made of walnut wood."
Allied Special Forces Association Grove,,
Allied Special Forces Association Sun Room,1,"Allied Special Forces Association Sun Room. The Allied Special Forces Association Grove is a living memorial, laid out in the form of an ‘Open Air Book’, where you can read about individuals and military units who have served with the Allied Special Forces up to the present day. The Grove has an oak sun room at its heart, and includes memorials to historical moments such as; the Dieppe Raid, Cockleshell Heroes, the Battle of Mirbat, the Falklands Conflict and many others."
Amalanchier Walk,2,Amalanchier Walk
Ambulance Services,,
Ancient Burial Mound,,
Anglo-Japanese Peace Garden,,
Arctic Convoys Memorial;Russian Convoys,4,"ARCTIC CONVOYS
Arctic Convoys - Russian Convoys 
This memorial of black Aberdeen granite was dedicated on 14 August 2012 in honour of all who sailed on the Arctic Convoys during the Second World War. 
The memorial’s inscription is engraved in both English and Russian. Between June 1941 and May 1945, the United Kingdom supplied Russia with millions of tons of war-related goods. These convoys were protected by Royal Navy ships of many types, with only 22 losses. Men serving on these ships undertook this most hazardous journey through seas littered with floes and bergs with force nine and 11 winds whipping the seas into mountainous waves. It was always cold, both inside and out, with the permanent duty of ice breaking from the superstructure to prevent them from capsizing and sinking. The convoys suffered constant attack from the German Navy and Air Force from their safe ports in Norway. Winston Churchill called it “The worst journey in the world”. This is the only major memorial at the Arboretum paid for by one family: the Coyle Family. The adjacent tree is dedicated to Michael Joseph Coyle who served on Royal Navy ships escorting the merchant vessels to Russian ports. Millions of tons of war-related goods were supplied to Russia to help in their conflict against Germany. These supplies had to be carried by sea to Archangel or Murmansk. The convoys of merchant ships had to be guarded by the Royal Navy from attack by German naval and air forces. Weather conditions were usually very poor with frequent heavy seas and sub-zero temperatures. Winston Churchill called it ‘The worst journey in the world.’ The laser-engraved main image shows a British warship navigating in a stormy sea. Also shown are badges of the Arctic Convoy Club and the Russian Convoy Club. Script on the memorial is engraved in both English and Russian. The terms Russian Convoys or Murmansk Convoys could also be used for search purposes. 
The Arctic convoys of WW2 sailed from the United Kingdom, Iceland, and North America to northern ports in the Soviet Union – primarily Arkhangelsk (Archangel) and Murmansk. 
There were 78 convoys between August 1941 and May 1945 
About 1,400 merchant ships delivered essential supplies to the Soviet Union under the Anglo-Soviet agreement and US Lend-Lease program, escorted by ships of the Royal Navy, Royal Canadian Navy and U.S. Navy 
85 merchant vessels and 16 Royal Navy warships (two cruisers, six destroyers, eight other escort ships) were lost. 
In some books the Arctic Convoys are referred to as the Russian Arctic Convoys or the Murmansk Run"
Arethusa Old Boys Association,5,Arethusa Old Boys Association
Argyll and Sutherland Highlanders Memorial ; Royal Scottish Regiment,,
Armed Forces Memorial,,
Armed Services Wood,,
Army Air Corps Memorial,,
Army Apprentice National Memorial,,
Army Benevolent Fund - The Soldiers' Charity ; ABF,,
Army Commandos Memorial,7,"Army Commandos Map Index
The British Commandos were first formed by the Army in June 1940, during the Second World War, as a well-armed but non-regimental raider force, employing unconventional and irregular tactics to assault, disrupt and reconnoitre the enemy in mainland Europe, Scandinavia, North Africa, The Levant (Eastern Mediterranean) and the Far East.Initially raids were made by comparatively small numbers, were of short duration and at night but later growing in complexity and size. The Commandos were formed and operated in secrecy and produced a demoralising effect on German coastal forces while achieving celebrity status among the British public, comparable with that attached to fighter pilots, and shrouded in myth. This memorial consists of a reproduction of part of the Association badge – the wreath in copper and the Fairbairn-Sykes fighting knife in stainless steel. The impressive piece was created at Anwick Forge in Lincolnshire and dedicated in the presence of HRH Prince Philip, The Duke of Edinburgh, in July 2007. At the centre of the memorial is a stone with the names of eight commandos awarded the Victoria Cross. Behind the memorial is a roll of honour listing all 1,205 commandos who died in training or on operations during the Second World War. On examination of the Roll of Honour you will note that many were executed: this is because on capture they were executed under the terms of the infamous Hitler “Kommandobefehl” Commando Order."
Army Dog Unit (Northern Ireland) Association Red Paw Memorial,,
Army Parade,,
Army Wood,,
Association of Jewish Ex-Servicemen and Women (AJEX) Memorial,,
Association of WRENS Centenary Stone,5,"Association of WRENS Centenary Stone. The installation of the AOW Centenary Stone took place on Wednesday 23rd September 2020 in the WRNS Garden.The memorial represents one hundred years since the Association was formed and it is very fitting that installation was able to go ahead in what should have been a year of celebration when so many planned events had to be cancelled.
The stone was constructed by Robyn Golden-Hann. It represents not only former wrens but also the Women of the Royal Naval Services as they are today. The WRNS were founded in l9l7 to support the men of the Royal Navy, but were disbanded in 1919. In 1939, at the outbreak of WW2, they were re-established and remained in service until 1993 when they were fully integrated into the Royal Navy. Women now carry out exactly the same duties as their male counterparts, both at sea and ashore. The garden is dedicated to all who served in the service and is designed to encourage birds, insects and butterflies. The pathways form the shape of an anchor. The wren, which was carved by the Essex Woodcarvers, forms part of a memorial for the 21 WRNS and a Naval Nursing Sister who lost their lives when their ship, SS Aguila, was torpedoed inl94l. One of the first WRNS to see active service was Wendy Clayin, who in 1990, served on board HMS Brilliant. The Women’s Royal Naval Service (WRNS), known as the Wrens, was formed in 1917 to release Royal Navy men for sea service during the First World War. It was disbanded after the war. On 11th April 1939 Vera Laughton Matthews was appointed Director of the newly reformed Women’s Royal Naval Service WRNS: she had previously been a member during World War 1. It was originally envisaged that there would be about 3000 women in the WRNS, however at its peak the number was more than 65,000. Around 75,000 Wrens carried out highly confidential and responsible roles in Britain and overseas. The WRNS was fully integrated into the Royal Navy in 1993.
This charming garden at the far end of the Royal Naval Review is dedicated to the WRNS and has been designed to encourage birds, insects and butterflies. The paths are in the shape of an anchor. Buddleia shrubs provide a haven for butterflies in summer. The two rose beds are planted with “Wren” roses to celebrate the 90th anniversary of the Association of Wrens 1917 – 2007. Notcutts Nurseries developed this rose for the 2007 Chelsea Flower Show and donated plants to the Wrens Garden at the NMA. In the rose beds and against the trees may be found dedications to individual Wrens. Located in the garden is the Aguila Memorial, a beautifully carved wren which commemorates the 21 WRNS and one Naval Nursing Sister who were lost when SS Aguila was torpedoed in 1941 (see M-152 Aguilla Memorial)."
Athel Shipping Line Memorial,,
Auxiliary Territorial Service / Ack Ack Memorial,9,"Auxiliary Territorial Service / ACK ACK (ATS / ACK ACK) 
A memorial rock remembering the women who staffed the anti-aircraft guns in the Second World War, the Auxiliary Territorial Service / ACK ACK (ATS / ACK ACK), who were attached to the Royal Artillery."
Auxiliary Territorial Service Statue,,
Baluch Regiment Memorial,8,"Baluch Regiment Memorial. Raised in 1820 as a Regiment of Indian Native Infantry, they served in both the First and Second World Wars. Planted in 2002, the grove commemorates all those who served the Crown with the Baluch Regiment."
Basra Memorial Wall,,
Bastion Memorial,,
Battle of Mirbat Memorial,,
Battle of the River Plate Memorial,5,"BATTLE OF THE RIVER PLATE (The first sea battle of WW2)
The Battle of the River Plate, which took place on the 13 December 1939, was the first major naval battle of the Second World War and the only episode of the War to take place in South America. The German pocket battleship Admiral Graf Spee, commanded by Kapitän sur See Hans Langsdorff, had been terrorising Allied shipping in the South Atlantic. It was eventually tracked down and engaged by three ships from the Royal Navy’s South American division (the cruisers HMS Ajax, HMS Exeter, and HMS Achilles) commanded by Commodore Henry Harwood Harwood. All four ships sustained considerable damage and Graf Spee limped into an estuary in neutral Uruguay to undertake necessary repairs. Given just 72 hours to repair, the Germans knew escape was impossible and scuttled (sank) the ship in the River Plate. Two days later, in Buenos Aires where the crew were taken, Kapitän Langsdorff committed suicide. He was buried there with full military honours and the service was attended by British officers who were present in the city. This impressive black granite memorial was unveiled in the presence of the few remaining River Plate veterans on 12 April 2014 to mark the 75th anniversary of the Battle of the River Plate. Significantly, it was the 300th memorial to be dedicated at the Arboretum. 
The Graf Spee was a German battleship; her mission, to destroy allied merchant ships in the Atlantic. 
In December 1940 she was engaged by HM Ships Exeter, Ajax and Achilles 
Exeter was badly damaged and withdrew; the other two ships, although damaged, remained on station. 
The Graf Spee put into Montevideo, Uruguay, which was a neutral country, so she could only stay for 24 hours for humanitarian reasons; however, she managed to stay for 72 hours. 
The Admiralty sent a signal to Ajax and Achilles informing them that a carrier and a battlecruiser were on their way as support; this was in fact one of the greatest deceptions of the war, they were not. 
Graf Spee's captain, convinced that stronger forces were waiting, left the majority of his crew behind and sailed out of the port where he scuttled his ship; he committed suicide two days later. 
Most of his crew stayed in Montevideo, others went to Buenos Aires, many of them married and raised families; the last surviving crew member, died in Buenos Aires June 2007 aged 89. 
The apron approaching the memorial shows the exact size of the shells that were exchanged. 
The front of the memorial shows the crests and silhouettes of the 3 RN ships, the reverse side is the ship's crest and silhouette of the Graf Spee. 
There are two quotes from Winston Churchill; ""This brilliant sea fight takes its place in our naval annals and in long cold dark winter it warms the cockles of the British hearts""; and other one says, ""This great battle will long be told in song and story"" 
Behind the memorial is a small pavier with the inscription, ""sealed herein are the names of those who served on HMS Ajax, HMS Achilles, HMS Exeter and Admiral Graf Spee who gave their lives whilst serving their country. Also, those who 75 years later supported the commissioning and dedication of this memorial on 12 April 2014. "
Bevin Boys Memorial,9,"Bevin Boys
Nearly 48,000 young men, all of them conscripts, joined regular miners in their work from 1943 - 1948. They were pressed into action because many miners had gone to war and at one stage coal reserves fell to less than three weeks' supply.  Ernest Bevin was the Minister of Labour at that time and decreed that every 10th man called up for war service would instead be sent down the coal mines.  The Bevin Boys were chosen out of a hat. Every month, for 20 months, Bevin's secretary drew numbers from his distinctive Homburg hat. If the number drawn matched the last digit of a man's National Service number, he was sent to the mines 
Comedian Eric Morecambe was a Bevin Boy (as was Brian Rix and Nat Lofthouse). 
The work was unfamiliar and dangerous; resulting in many injuries and lives lost. They were also often unfairly accused of being ‘Conscientious Objectors’, which they most certainly were not, although some Conscientious Objectors HAD been sent to work in the mines as an alternative to imprisonment. 
The plinths are made of Kilkenny limestone which will eventually turn black, like coal. 
During the Second World War 48,000 men were conscripted, via a lottery, to work in coal mines 
They were called “Bevin Boys” after Ernest Bevin, the Minister of Labour and National Service in the wartime coalition government 
The Bevin Boys joined regular miners in their dirty, dangerous but essential work to keep the coal supplies of Britain flowing 
The badge awarded to Bevin Boys can be seen on the face of the main memorial 
The smaller of the two blocks is carved with the tools and equipment used by the Bevin Boys 
There are also two mice carved on the memorial as Bevin Boys said that there were always mice in the mines. Can you spot them? "
Bidadari Cemetery Memorial,,
Birmingham Children's Hospital,,
BLESMA -  The Limbless Veteran's Orchard.,7,"British Limbless Ex-Service Men’s Association (BLESMA)
BLESMA - The Limbless Veteran’s Orchard. The 70 fruit trees here, including varieties of bramley seedling ‘Malus domestica’, Fiesta, James Grieve, Golden Delicious, Cox’s Orange Pippin, Katie and Egremont Russet, are dedicated to those serving and ex-service personnel who are assisted by Blesma, The Limbless Veteran’s charity."
Blind Veterans UK (St Dunstan's) Pathway,,
Blown Away,,
Blues and Royals,,
Bomb Disposal Memorial ; Explosive Ordnance Disposal,,
Boyes Garden,,
Boys' Brigade,,
Brigade of Gurkhas Memorial,8,"Brigade of Gurkhas Memorial. Gurkhas have served the British Crown for over 200 years. It is a rich heritage marked by excellence and sacrifice. The names of over 400 Gurkhas appear on the Armed Forces Memorial. The history of the Brigade from its inception in 1815 during the early wars between the Honourable East India Company and city-state of Gorkha, through the early Afghan wars, the two World Wars, the almost continuous post-war conflicts to modern day Afghanistan, is forged from the deep feeling of mutual respect and admiration developed between the British and their Gurkha adversaries. Following the Nepal Wars, and under the terms of the Sugauli Peace Treaty in 1816, Gurkhas were permitted to volunteer for service in the East India Company’s Army. From these volunteers were formed the first regiments of the Gurkha Brigade,and from this time stems Britain’s friendship with Nepal, a country which has proved a staunch ally ever since and has become our ‘oldest ally’ in Asia. Since 1997, the Brigade of Gurkhas has been operationally and battle proven in Bosnia, Kosovo, East Timor, Sierra Leone, Macedonia and Iraq. With 11 years of continuous Gurkha deployments in Afghanistan, the human cost and sacrifice in Afghanistan has been high. Fifty four officers and soldiers of the Brigade have been wounded in action and 15 have died.
The memorial takes the form of a traditional chautara, a traditional resting place for travellers on hillside trails in Nepal. The plaque incorporates the badges of the units of the Brigade, past and present."
British Berlin Airlift Memorial,,
British German Friendship Garden,,
British Korean Veterans Association (BKVA),8,"British Korean Veterans Association (BKVA). There is still great interest in this site as many of those who took part are still alive. The conflict between North and South Korea is of course still ongoing and newsworthy. In 1950, 22 member nations of the United Nations (UN) joined South Korean forces to repel the North Korean and communist Chinese aggression. During the three years of the conflict, some four million people died. Over 100,000 British Service personnel served during the war, of whom over 2,000 were killed or taken prisoner. Among the many decorations awarded were four Victoria Crosses and two George Crosses. In 1952, the Commonwealth units from Australia, Canada, India, New Zealand and South Africa combined to form the 1st Commonwealth Division. The memorial garden, originally laid out and maintained by members of the British Korean Veterans Association (BKVA), is designed to create a living memorial to all British Service Personnel who served and gave their lives. It is an arboretum within an arboretum, planted with more than 100 trees of some 27 different species, mostly of Korean or Asian origin. The bronze plaques on the large boulders give a brief history of the Service Units involved together with the dates and locations of the various battles and actions. An arboretum within an arboretum to form a living memorial to all British servicemen and women who served in the Korean War. It represents the continuing friendship between ourselves and South Korea, but also reminds us that this conflict was
fought under the flag of the United Nations. Originally planted with over 150 trees of 27 different varieties, mostly of Korean or Asian origin. Five boulders of rock in a semi-circle have brass plaques attached giving a time-line of events during this
conflict and the armed forces involved. There are 3. flagpoles, which normally fly the standards of the UK, South Korea"
British Limbless Ex-Service Men's Association  (BLESMA). The Limbless Veteran's Garden.,,
British Nuclear Test Veterans Memorial (BNTV),7,"British Nuclear Veterans Memorial
The BNTVA Formed in 1983, the British Nuclear Test Veterans Association (BNTVA) is a focus for all those who served at the test sites and combines comradeship with the objective of recognition of the ill effects suffered by some veterans, their families and children born with lung problems. The BNTVA believe that over 22,000 British servicemen from the Army, Royal Air Force, Royal Navy, Merchant Navy, and Royal Fleet Auxiliary participated in the British and American nuclear tests and clean-ups between 1952-1966, along with scientists from the Atomic Weapons Research Establishment and civilians. The BNTVA promote research into the effects of clastogenic radiation on the nuclear community, and educate the general public about the nuclear tests in creative ways.
The BNTVA has about 1,400 members of which one third are widows. Membership is limited to men who served in the nuclear test areas, their widows and their descendants.
The Nuclear Test Program
Between 1952 and 1958 21 atmospheric tests took place at the locations listed on the memorial. The yield from these tests varied between 1 and 150 kilotons.
3rd October 1952: the Hurricane Test at Monte Bello
15th & 23rd October 1953: 2 Totem Tests at Emu Field
16 May & 19th June 1956: 2 Mozaic Tests at Monte Bello
September-October 1956: 4 tests in the Buffalo series at Maralinga
May – June 1957: 3 tests in the Grapple series at Malden Island
September –October 1957: 3 tests in the Antler series at Maralinga.
November 1957 – September 1958: 6 tests in the Grapple Series at Christmas Island.
From the 1960s further tests were undertaken at underground facilities in Nevada in cooperation with the USA.
The Medal for British Nuclear Test Veterans
The BNTVA campaigned for many years for a medal to be awarded to recognise the service and sacrifice of the service personnel who had taken part in the tests.
At a ceremony at the BNTVA Memorial on 21st November 2022 the Prime Minister Rishi Sunak announced that the British Nuclear Veterans would now be entitled to a medal to mark their service and said: “I am incredibly proud that we are able to mark the service and dedication of our nuclear test veterans with this new medal. Their commitment and service has preserved peace for the past 70 years, and it is only right their contribution to our safety, freedom and way of life is appropriately recognised with this honour.
This medal is an enduring symbol of our country’s gratitude to each and every person who played a part in this effort and their loved ones who supported them.”
HM Government website states that:
The Nuclear Test Medal will be a commemorative medal that can be worn by recipients.
The medal also recognises the contribution made by veterans and civilians from across Australia, New Zealand, Fiji and Kiribati. All service personnel and civilians under UK command, including close partners from the Commonwealth and Pacific region, who participated in, or were present at, the British or American nuclear tests at the Montebello Islands, Christmas Island, Malden Island and Maralinga & Emu Field, South Australia between 1952 and 1967 will be eligible for the medal. This also includes scientists and local employees.
It is estimated that around 22,000 veterans will be eligible for the medal."
British South Africa Police Memorial,7,"British South Africa Police
This memorial was dedicated on 25 July 2010 and replicates the memorial erected in 1921 in the Morris Depot (the training depot for new recruits) in Salisbury, Rhodesia (now Harare, Zimbabwe)."
BRIXMIS Memorial,,
Brotherhood of Greek Veterans Chapel,,
Burma Railway Memorial,8,"Burma Railway Memorial. This 30-metre stretch of track was bought back from Burma to form the memorial here at the National Memorial Arboretum. Construction started in June 1942 and after 18 months the 415km (257 miles) of railway was finished. The POW’s and Asian labourers, many of whom were Indians who had gone to Burma to work for the British, had to work long hours in extreme conditions and with little food. Over 330,000 men worked on the railway. Around 16,000 POW’s and 100,000 labourers lost their lives. It has been said that one person died for each sleeper that was laid. Burma railway actually took 16 months to build, 2 months faster than engineers estimated. This was because the Japanese pushed the workers to the absolute limit. The railway ran between Bangkok in Thailand to Rangoon in Burma, 600 bridges had to be constructed and bridge number 277 was the infamous bridge over the River Kwai. When this piece of track arrived here one of our Volunteers traced its origins only to find that it was actually manufactured in Middlesbrough! (There are embossed markings on the inside of the left-hand rail, just past the 9th sleeper)."
Burma Star Memorial,8,"The 15ft tall monolith is a copy of the one that stands at the Commonwealth War Grave Cemetery in Kohima, on the border of India with Burma, which saw some of the fiercest fighting of the Burma campaign, but is where the Japanese advance was finally halted.
It is intended to pay tribute to ALL organisations, armed forces and individuals who hold either the Burma Campaign Star or the Pacific Star with Burma Clasp. On the memorial is the famous Kohima Epitaph that has been used around the world on memorials and at remembrance services:
‘WHEN YOU GO HOME
TELL THEM OF US AND SAY
FOR YOUR TOMORROW
WE GAVE OUR TODAY’
The words are attributed to John Maxwell Edmonds (1875 -1958), an English Classicist, who had put them together among a collection of 12 epitaphs for World War One, in 1916. According to the Burma Star Association the words were used for the Kohima Memorial as a suggestion by Major John Etty-Leal, the GSO II of the 2nd Division, another classical scholar. The verse is thought to have been inspired by the Greek lyric poet Simonides of Ceos (556-468 BC) who wrote after the Battle of Thermopylae in 480 BC:
""Go tell the Spartans, thou that passesth by, That faithful to their precepts here we lie."""
Cadet Forces' Memorial,,
